Genesis     1-3  , Psalms   1, GQI72THyO5I
Genesis     4-7  , Psalms   2, Zy2AQlK6C5k
Genesis     8-11 , Psalms   3, 8ferLIsvlmI
Genesis    12-15 , Psalms   4, F4isSyennFo
Genesis    16-18 , Psalms   5,
Genesis    19-21 , Psalms   6,
Genesis    22-24 , Psalms   7,
Genesis    25-28 , Psalms   8,
Genesis    29-31 , Psalms   9,
Genesis    32-34 , Psalms  10,
Genesis    35-37 , Psalms  11,
Genesis    38-40 , Psalms  12,
Genesis    41-42 , Psalms  13,
Genesis    43-45 , Psalms  14,
Genesis    46-47 , Psalms  15,
Genesis    48-50 , Psalms  16, 3dEh25pduQ8
Exodus      1-3  , Psalms  17, jH_aojNJM3E
Exodus      4-6  , Psalms  18, l9vn5UvsHvM
Exodus      7-9  , Psalms  19,
Exodus     10-12 , Psalms  20,
Exodus     13-15 , Psalms  21,
Exodus     16-18 , Psalms  22,
Exodus     19-21 , Psalms  23, oNpTha80yyE
Exodus     22-24 , Psalms  24, 3BGO9Mmd_cU
Exodus     25-27 , Psalms  25, Zy2AQlK6C5k
Exodus     28-29 , Psalms  26,
Exodus     30-31 , Psalms  27,
Exodus     32-34 , Psalms  28,
Exodus     35-40 , Psalms  29,
Leviticus   1-4  , Psalms  30, IJ-FekWUZzE
Leviticus   5-7  , Psalms  31, G_OlRWGLdnw
Leviticus   8-10 , Psalms  32,
Leviticus   11-13, Psalms  33, l9vn5UvsHvM
Leviticus   14-15, Psalms  34,
Leviticus   16-18, Psalms  35,
Leviticus   19-20, Psalms  36,
Leviticus   21-23, Psalms  37,
Leviticus   24-25, Psalms  38,
Leviticus   26-27, Psalms  39,
Numbers      1-4 , Psalms  40, tp5MIrMZFqo
Numbers      5-7 , Psalms  41, l9vn5UvsHvM
Numbers      8-10, Psalms  42,
Numbers     11-13, Psalms  43,
Numbers     14-16, Psalms  44,
Numbers     17-18, Psalms  45,
Numbers     19-21, Psalms  46,
Numbers     22-24, Psalms  47,
Numbers     25-27, Psalms  48,
Numbers     28-30, Psalms  49,
Numbers     31-32, Psalms  50,
Numbers     33-34, Psalms  51,
Numbers     35-36, Psalms  52,
Deuteronomy  1-3 , Psalms  53, q5QEH9bH8AU
Deuteronomy  4-6 , Psalms  54, 8ferLIsvlmI
Deuteronomy  7-9 , Psalms  55,
Deuteronomy 10-12, Psalms  56, 3BGO9Mmd_cU
Deuteronomy 13-14, Psalms  57,
Deuteronomy 15-16, Psalms  58,
Deuteronomy 17-20, Psalms  59,
Deuteronomy 21-23, Psalms  60,
Deuteronomy 24-27, Psalms  61,
Deuteronomy 28-29, Psalms  62,
Deuteronomy 30-31, Psalms  63,
Deuteronomy 32-34, Psalms  64,
Joshua       1-4 , Psalms  65, JqOqJlFF_eU
Joshua       5-8 , Psalms  66,
Joshua       9-12, Psalms  67,
Joshua      13-21, Psalms  68,
Joshua      22-24, Psalms  69, 8ferLIsvlmI
Judges       1-3 , Psalms  70, kOYy8iCfIJ4
Judges       4-5 , Psalms  71,
Judges       6-8 , Psalms  72,
Judges       9-12, Psalms  73,
Judges      13-15, Psalms  74,
Judges      16-18, Psalms  75,
Judges      19-21, Psalms  76,
Ruth         1-4 , Psalms  77, 0h1eoBeR4Jk
1 Samuel     1-3 , Psalms  78, QJOju5Dw0V0
1 Samuel     4-8 , Psalms  79,
1 Samuel     9-12, Psalms  80,
1 Samuel    13-14, Psalms  81,
1 Samuel    15-17, Psalms  82,
1 Samuel    18-20, Psalms  83,
1 Samuel    21-24, Psalms  84,
1 Samuel    25-27, Psalms  85,
1 Samuel    28-31, Psalms  86,
2 Samuel     1-3 , Psalms  87, YvoWDXNDJgs
2 Samuel     4-8 , Psalms  88, 3dEh25pduQ8
2 Samuel     9-12, Psalms  89,
2 Samuel    13-15, Psalms  90,
2 Samuel    16-18, Psalms  91,
2 Samuel    19-21, Psalms  92,
2 Samuel    22-24, Psalms  93,
1 Kings      1-3 , Psalms  94, bVFW3wbi9pk
1 Kings      4-7 , Psalms  95, Zy2AQlK6C5k
1 Kings      8-10, Psalms  96,
1 Kings     11-13, Psalms  97,
1 Kings     14-16, Psalms  98,
1 Kings     17-19, Psalms  99,
1 Kings     20-22, Psalms 100,
2 Kings      1-3 , Psalms 101, bVFW3wbi9pk
2 Kings      4-7 , Psalms 102,
2 Kings      8-11, Psalms 103,
2 Kings     12-14, Psalms 104,
2 Kings     15-17, Psalms 105,
2 Kings     18-19, Psalms 106,
2 Kings     20-22, Psalms 107,
2 Kings     23-25, Psalms 108,
Isaiah       1-4 , Psalms 109, ...
Isaiah       5-8 , Psalms 110, l9vn5UvsHvM
Isaiah       9-12, Psalms 111,
Isaiah      13-17, Psalms 112,
Isaiah      18-22, Psalms 113,
Isaiah      23-27, Psalms 114,
Isaiah      28-30, Psalms 115,
Isaiah      31-35, Psalms 116,
Isaiah      36-38, Psalms 117,
Isaiah      39-41, Psalms 118, ...
Isaiah      42-44, Psalms 119:1-32,
Isaiah      45-48, Psalms 119:33-64,
Isaiah      49-51, Psalms 119:65-96,
Isaiah      52-54, Psalms 119:97-128, ...
Isaiah      55-57, Psalms 119:129-152,
Isaiah      58-60, Psalms 119:153-176,
Isaiah      61-64, Psalms 120,
Isaiah      65-66, Psalms 121,
Hosea        1-5 , Psalms 122, ...
Hosea        6-10, Psalms 123,
Hosea       11-14, Psalms 124,
Joel         1-3 , Psalms 125, ...
Amos         1-5 , Psalms 126, ...
